,trans_date,acc_created_date,trans_id,user_id,brand,product_name,quantity,sub_total
0,2021-03-01 09:42:48,2021-03-01 09:39:28,INV-44477208-20195,6ae66dba4a,Geo Magazine,Geo Magazine 12 Month Printed Subscription,1,576000
1,2021-03-01 09:42:48,2021-03-01 09:39:28,INV-84260125-20195,6ae66dba4a,Insight Magazine,Insight Magazine 6 Month Printed Subscription,1,120000
2,2021-03-01 10:05:18,2021-03-01 05:10:49,INV-21702404-20196,fecd37e3fa,Kids Creativity Magazine,Kids Creativity Magazine 6 Month Printed Subscription,1,145600
3,2021-03-01 15:58:35,2021-02-25 18:38:31,INV-46817248-20197,702981082e,Kids Magazine,Kids Magazine 6 Month Printed Subscription,1,291200
4,2021-03-01 16:19:54,2021-03-01 16:16:50,INV-47598177-20198,d1fbab7576,Kindergarten Magazine,Kindergarten Magazine 6 Month Printed Subscription,1,182000
5,2021-03-01 16:19:54,2021-03-01 16:16:50,INV-63594128-20198,d1fbab7576,Kids Magazine,Kids Magazine 6 Month Printed Subscription,1,291200
6,2021-03-01 16:25:40,2021-02-25 16:05:03,INV-69454018-20199,cc2c1caf61,Womens`s Magazine,Womens`s Magazine Unit Subscription E-Magazine Subscription,1,10000
7,2021-03-01 20:34:46,2021-03-01 20:34:46,INV-41378221-20203,3a96c7b62c,Kindergarten Magazine,Kindergarten Magazine 12 Month Printed Subscription,1,364000
8,2021-03-01 20:42:57,2021-03-01 20:42:57,INV-86357427-20204,3a96c7b62c,Kids Creativity Magazine,Kids Creativity Magazine 12 Month Printed Subscription,1,291200
9,2021-03-01 21:33:54,2021-03-01 21:33:54,INV-77518903-20205,cd9886d247,Kids Magazine,Kids Magazine 6 Month Printed Subscription,1,291200
10,2021-03-01 21:44:28,2021-03-01 21:44:28,INV-24551045-20207,3cd14ae8ee,Kindergarten Creativity Magazine,Kindergarten Creativity Magazine 6 Month Printed Subscription,1,84000
11,2021-03-02 07:31:29,2021-03-02 07:31:29,INV-90993947-20210,308c105922,Kindergarten Magazine,Kindergarten Magazine 6 Month Printed Subscription,1,182000
12,2021-03-02 07:31:29,2021-03-02 07:31:29,INV-30780617-20210,308c105922,Geo Magazine,Geo Magazine 6 Month Printed Subscription,1,288000
13,2021-03-02 12:58:37,2021-03-02 12:58:37,INV-88771221-20212,8d0b22c1ec,Kids Magazine,Kids Magazine 12 Month E-Magazine Subscription,1,364000
14,2021-03-02 13:06:03,2021-03-02 13:06:03,INV-70702695-20213,8d0b22c1ec,Insight Magazine,Insight Magazine 12 Month Printed Subscription,1,240000
15,2021-03-02 15:09:09,2021-03-02 15:09:09,INV-96932778-20214,2cfa97bf74,Kindergarten Magazine,Kindergarten Magazine 12 Month Printed Subscription,1,364000
16,2021-03-02 15:17:55,2021-03-02 14:55:59,INV-23220286-20215,e3ae5dc61b,Kindergarten Creativity Magazine,Kindergarten Creativity Magazine 12 Month Printed Subscription,1,168000
